W_PCT,AGE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FP,DD2,TD3
0.5,33,0.5,1.3,0.4,0,0.3,0,0,0,0,0,0.8,0.8,0.3,0,0,0,0,1.3,0,1,2,2.3,0,0
0.227,26,1,2.7,0.356,0,0.5,0.1,0.4,0.7,0.533,0.3,0.7,1,1.1,0.8,0.2,0.1,0.1,0.7,0.5,2.3,-0.3,5.5,0,0
0.746,27,2.5,6.4,0.399,1.1,3.4,0.325,0.6,0.7,0.818,0.3,1.3,1.5,1.9,1.2,0.5,0.1,0.1,1.9,1.2,6.8,0.6,12,1,0
0.533,33,3.1,6,0.522,0,0,0,0.9,1.5,0.598,1.9,3,4.9,0.3,0.9,0.4,0.7,0.6,2.5,1.3,7.1,0.2,16,3,0
0.62,27,3.3,6.4,0.511,0,0,0,1.6,2.1,0.774,1.7,3,4.7,0.4,0.8,0.4,0.4,0.5,2.6,1.7,8.1,0.5,15.7,3,0
0.613,28,5.4,8.7,0.615,0,0.1,0.2,3.8,5.4,0.711,1.9,5.7,7.6,2,1.8,1.1,1,0.7,3.2,4.4,14.5,4.3,31.2,14,0
0.676,30,1.9,3.4,0.566,0,0,0,0.8,1,0.753,1.7,2.8,4.5,1,0.8,0.6,0.4,0.4,3,1.7,4.6,4.4,13.7,1,0
0.219,26,6.4,14.6,0.441,1.6,4.2,0.387,2.9,3.6,0.816,0.4,2.3,2.7,1.2,1.4,0.7,0.3,0.5,2.3,2.7,17.4,-4.4,23.9,0,0
0.588,22,4.6,10.1,0.455,1.5,4.3,0.345,1.7,2.1,0.841,1.4,3.2,4.5,1.5,1,0.9,0.6,0.5,2.4,2.4,12.4,0.6,23.4,6,0
0.231,25,2.1,4,0.517,0,0,0,1.3,1.8,0.763,1.4,1.6,3,0.4,1.4,0.3,0.5,0.5,2.8,1.6,5.5,-3.3,10.8,1,0
0.521,23,4.3,10.5,0.407,1.4,3.7,0.364,1.4,1.8,0.756,0.5,1.9,2.4,2,1.4,1,0.4,0.6,1.8,1.4,11.3,1.7,20,0,0
0.756,24,1,1.7,0.553,0,0,0,0.9,1.8,0.503,1.4,2.4,3.7,0.4,0.8,0.2,0.7,0.3,1.9,1.4,2.8,2.9,9.9,1,0
0.239,23,3.2,7.7,0.412,1.3,3.5,0.372,1,1.4,0.673,1,3.3,4.3,1,1,0.8,0.2,0.3,1.6,1.3,8.6,-1.9,17.2,4,0
0,29,0.3,0.7,0.5,0,0,0,0.3,0.7,0.5,0,0,0,0.3,0,0.3,0,0.3,0,0.3,1,1.7,2.5,0,0
0.471,25,1.8,3.8,0.477,0.1,0.2,0.25,1.8,2.7,0.652,1.5,2.5,3.9,1.2,0.8,1,0,0.6,1.9,2.2,5.5,1,14.1,1,0
0,23,0.7,2,0.333,0,0.3,0,1,1,1,0.7,0.3,1,0.7,1,0.3,0,0.7,0.3,1,2.3,-2.3,4.5,0,0
0.429,27,0,0.7,0,0,0.3,0,0.4,0.6,0.75,0.1,0.1,0.3,0.3,0.1,0,0.1,0.1,0.1,0.3,0.4,-0.6,1.5,0,0
0.558,22,2.9,5.1,0.558,0,0,0,0.6,0.8,0.714,1.7,2.2,3.8,0.8,0.6,0.3,0.7,0.2,1.5,0.7,6.3,0.2,14.6,4,0
0.625,22,2.1,5.1,0.412,0.7,2.1,0.353,0.6,0.7,0.766,0.3,0.5,0.8,1.7,1,0.4,0,0.3,1,1.1,5.5,-1.5,9.4,0,0
0.695,30,7.2,13.7,0.529,0,0,0.333,4.3,5.2,0.823,3.3,6.9,10.2,3.3,1.7,0.6,1.6,1,2.5,4.4,18.8,6.5,40.8,43,1
0.475,21,2.9,6.5,0.453,0.7,2.3,0.297,1.3,1.7,0.762,0.6,3.1,3.7,1.1,1.1,1,0.4,0.5,2.1,1.2,7.8,-0.1,17,0,0
0.474,26,6.9,13,0.531,0.1,0.3,0.391,3.4,4.4,0.757,2.2,5.5,7.6,2.5,1.9,1.4,0.9,0.9,3.6,3.5,17.3,0.2,35,19,0
0.688,33,6.3,12.8,0.497,1.4,3.7,0.374,4.8,5.6,0.86,0.4,5,5.4,3.3,2.1,1,0.6,0.6,2.9,4.4,18.9,7.4,33,7,1
0.758,34,3,6.9,0.441,1.7,4.1,0.419,0.7,0.8,0.92,0.4,1.8,2.3,0.9,0.5,0.4,0.1,0.2,0.7,0.5,8.5,3.8,13.4,0,0
0.258,27,1.7,4.2,0.409,0.1,0.5,0.2,0.6,0.7,0.902,0.1,1,1.1,2.6,0.8,0.5,0,0.2,0.9,0.8,4.1,-1.4,10.1,0,0
0.857,27,0.1,0.4,0.333,0,0,0,0,0,0,0.4,1.1,1.6,0.3,0.3,0,0,0,1.6,0,0.3,-2.3,2.3,0,0
0.649,31,1.5,4.5,0.341,0.7,2.6,0.288,0.6,0.8,0.75,0.7,2.4,3.1,0.7,0.6,0.4,0.1,0.2,1.3,0.9,4.4,1.2,10.1,0,0
0.53,23,1.1,2.7,0.406,0.3,0.8,0.36,0.4,0.5,0.706,0.3,1,1.3,0.4,0.2,0.3,0.2,0.2,1,0.4,2.8,-1.1,6.1,0,0
0.194,30,0.7,1.6,0.441,0,0.1,0,0.1,0.4,0.357,0.3,0.6,0.8,0.3,0.2,0.1,0.2,0.1,1.1,0.5,1.6,0.4,3.6,0,0
0.5,34,2.8,6.9,0.409,1,2.8,0.352,1.3,1.5,0.892,0.5,2.1,2.6,1.7,0.9,0.8,0.2,0.3,2.5,1.9,8,-3.1,15.8,0,0
0.691,25,4.7,9.9,0.475,0.1,0.6,0.233,1.1,1.9,0.568,1.3,3.1,4.4,11.2,3.4,2.3,0.2,0.8,1.8,2.3,10.6,6.5,36.4,31,3
0.235,25,4.5,9.6,0.466,0,0.2,0.2,4.3,5.2,0.823,0.6,2.6,3.1,5.2,2.2,0.7,0.1,0.8,1.1,3.9,13.3,-6.1,25.1,7,0
0.444,27,3.3,8.4,0.388,1.1,3.4,0.327,2.1,2.4,0.893,0.2,1.4,1.6,2.7,1.5,0.7,0.3,0.4,1.9,1.6,9.8,-3.1,17.5,0,0
0.421,31,4.4,10.2,0.433,1.5,4.3,0.357,1.4,1.7,0.802,1.2,3.8,5.1,1.6,1.5,0.9,0.5,0.3,2.8,1.8,11.7,-1.2,23,6,0
0.362,32,1.7,5,0.333,1,2.9,0.338,0.4,0.6,0.667,0.2,1.4,1.6,0.6,0.5,0.2,0.3,0.2,0.8,0.3,4.7,-1.9,8.5,0,0
0.688,35,6,12.2,0.491,2.1,4.7,0.444,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1.5,1,0.2,0.4,1.8,1.9,16.5,5.7,26.8,0,0
0.587,27,5.7,13.4,0.425,1.5,4.4,0.353,2.6,3.2,0.805,0.6,2.9,3.6,8.3,2.9,1.7,0.1,0.5,2,2.7,15.5,1.8,34.8,27,1
0.367,31,1.4,3.4,0.408,0,0,0,1.6,2.9,0.545,4,7.5,11.5,1.3,1.3,1,0.2,0.7,3,3.2,4.4,-5.9,22.3,2,0
0.45,24,3.4,7.2,0.469,1.3,3,0.423,1.3,1.7,0.746,0.6,2.1,2.7,1.5,0.7,0.4,0,0.3,1.6,1.5,9.2,-0.8,15.2,0,0
0.75,26,0.8,1.6,0.462,0.1,0.3,0.5,0.4,0.5,0.75,0.3,0.6,0.9,0.3,0.1,0.5,0.3,0.3,1.9,0.4,2,0.4,5.6,0,0
0.345,33,5.2,12.2,0.429,1,2.6,0.382,2.7,3.1,0.849,0.4,1.9,2.3,3.1,1.6,0.7,0.1,0.4,1.7,2.1,14.1,-2.6,22.3,0,0
0.741,31,3.8,7.9,0.474,1.7,3.8,0.44,1.8,2.4,0.759,0.7,3.2,3.8,1.3,1.1,0.5,0.4,0.3,2,2,11,3.6,19.1,1,0
0.493,23,2.7,5.3,0.501,0,0,0,1.1,1.5,0.74,1.2,2,3.2,0.1,0.7,0.3,0.7,0.6,2.1,1.4,6.4,-0.7,12.6,2,0
0.481,27,1.7,4.1,0.418,0.6,1.4,0.447,0.7,1,0.667,0.5,1.3,1.8,0.4,0.6,0.4,0.2,0.1,1.2,0.7,4.7,-3.1,8.7,0,0
0.357,25,5.2,11.8,0.439,0.4,1.3,0.289,4.7,5.4,0.866,1,2.1,3.1,5.2,2.2,1.1,0.1,1.1,2.5,3.8,15.5,-1.2,28.4,7,0
0.679,23,3.4,8,0.422,0.9,3,0.301,0.8,1.1,0.767,0.3,1.6,1.9,2.3,1.7,0.7,0.3,0.6,2.7,1.3,8.4,-0.6,15.4,0,0
0.385,30,1,3,0.338,0.6,1.7,0.364,0.3,0.4,0.7,0.2,1.5,1.7,0.8,0.2,0.2,0.1,0.1,1,0.3,2.9,-2.2,6.7,0,0
0,30,0.3,1.3,0.25,0,0.3,0,0,0,0,0,1,1,0.3,0,0,0,0.3,0.7,0,0.7,-1.7,2.4,0,0
0.753,26,2.5,5.3,0.48,0.1,0.3,0.222,1.1,1.6,0.654,0.7,2.6,3.2,1.7,0.7,1.3,0.3,0.3,1,1.4,6.2,3,16.7,0,0
0.525,28,1.3,3.6,0.352,0.3,1.2,0.29,0.5,0.7,0.744,0.4,0.7,1,0.9,0.9,0.7,0.1,0.2,1.8,1,3.3,0.2,7.5,0,0
