W_PCT,AGE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3
0.395,24,2.8,6.2,0.456,0.2,0.9,0.235,1.2,1.9,0.662,1,2.8,3.7,2.3,1.7,0.9,1,0.4,2.5,1.2,7.1,-1.8,19,0,0
0.704,30,1.8,4.3,0.422,1.5,3.5,0.429,0.7,0.9,0.833,0.3,1.7,2,0.5,0.3,0.4,0.2,0,1.6,1,5.9,3,10.5,0,0
0.388,34,1.7,4.9,0.336,1.4,4.3,0.316,0.2,0.3,0.733,0.2,2.8,3,0.7,0.5,0.5,0.1,0,2.1,0.9,4.9,-0.6,10.9,0,0
0.488,25,3.7,7.7,0.477,1.3,3.1,0.415,2,2.7,0.743,1.4,2.5,3.9,1.3,0.9,1.1,0.2,0.4,1.7,2.1,10.6,-0.4,20.2,2,0
0.476,29,0.7,2,0.349,0,0.2,0.222,0.3,0.7,0.414,1.5,1.3,2.8,0.9,0.5,0.7,0.4,0.2,1.8,1,1.8,2.5,9.3,0,0
0.47,27,3.1,7.7,0.408,0.4,1.3,0.306,2.2,2.6,0.85,0.2,1.8,2.1,2.9,1.3,0.7,0.1,0.5,1.2,2.2,8.9,-2.1,16.6,0,0
0.393,32,0.2,0.8,0.286,0,0,0,0.3,0.4,0.7,0.5,0.4,0.9,0.1,0.3,0.1,0,0.2,1,0.8,0.7,0.2,2.1,0,0
0.551,32,0.7,1.4,0.479,0,0,1,0.6,0.8,0.659,0.6,1.5,2.1,0.4,0.5,0.2,0.2,0.2,2,1.4,2,1.8,5.7,0,0
0.375,30,0.3,1.2,0.25,0,0.3,0.125,0,0.1,0.5,0.1,0.3,0.5,0.2,0.1,0.1,0,0.1,0.2,0.1,0.7,1.5,1.8,0,0
0.7,38,2.7,7.5,0.361,1.7,4.9,0.34,0.8,1,0.87,0.4,4,4.4,8.2,2.2,1.7,0.4,0.2,1.5,1,7.9,2.1,29.3,9,2
0.298,28,1.6,3.3,0.492,0,0,0,0.9,1.7,0.515,1.2,1.9,3,0.3,0.8,0.4,0.4,0.5,1.6,1.5,4.2,-2.4,9.8,0,0
0.588,30,5.9,13.2,0.447,2.4,6,0.395,1.5,2,0.73,0.8,3.3,4.1,1.8,1.2,1.2,0.2,0.4,2,1.5,15.6,3.3,26.1,1,0
0.571,25,1.8,4,0.443,0,0,0,0.8,0.9,0.843,1.2,2,3.1,0.5,0.7,0.3,0.4,0.2,1.9,0.8,4.3,-0.1,10.3,0,0
0.695,33,6,13.3,0.451,1.5,4.3,0.362,2.2,2.6,0.85,0.3,1.6,1.9,4.1,2,1.1,0.2,0.6,1.7,2.2,15.8,4,26,1,0
0.32,24,3.6,7.1,0.507,0,0,0,1.6,2.7,0.605,1.9,4.1,6.1,1.2,1.3,0.4,0.6,0.6,2.8,2.5,8.8,-1.9,19.4,9,0
0.704,35,0.8,2.5,0.328,0.4,1.4,0.263,0,0,0,0.1,1,1.1,1.9,0.7,0.4,0,0,0.3,0.1,2,1.6,6.9,0,0
0.291,23,4.2,7.6,0.55,0,0,0,1.7,2.9,0.583,2.8,5.2,8,0.5,1.3,0.5,2.4,0.5,2.9,2.6,10.1,-2.9,28,21,1
0.231,28,1.6,4.8,0.325,0.5,1.7,0.289,0.3,0.5,0.75,0.3,1.6,1.8,0.8,0.6,0.3,0.1,0.3,1.3,0.6,4,-3.2,8.3,0,0
0.304,25,1,2.3,0.426,0,0,0,0.5,0.8,0.579,1,1.5,2.5,0.4,0.4,0.2,0.2,0.6,1.2,0.8,2.5,0.1,6.9,0,0
0.446,34,1.4,3,0.479,0,0.1,0,0.5,0.9,0.563,2.9,3.4,6.3,0.8,0.5,0.4,0.6,0.3,2.3,1.3,3.3,0.9,14.6,0,0
0.6,24,4.9,10.9,0.449,0.9,2.8,0.303,2.6,3.3,0.811,1,3.8,4.8,1.4,1.3,0.7,0.5,0.5,2.8,2.5,13.3,0,23.5,4,0
0.514,23,1.9,4.3,0.438,0.3,0.7,0.375,1.1,1.4,0.794,0.2,1.3,1.5,2,0.9,0.6,0.4,0.5,1.2,1.1,5.2,-0.9,11.9,0,0
0.449,23,1.6,2.3,0.661,0,0,0,0.5,0.8,0.703,0.7,1.2,2,0.5,0.4,0.3,0.3,0.1,1,0.7,3.6,-0.3,8.4,0,0
0.345,22,1,2.5,0.389,0,0.2,0.2,0.7,0.9,0.76,0.4,0.8,1.2,1.4,0.6,1.1,0.3,0.3,1.1,1.1,2.6,0.3,9.9,0,0
0.542,32,2.1,4.5,0.459,0,0,0,1.2,1.8,0.674,1,2.6,3.7,0.5,1.1,0.1,1.3,0.3,2.7,1.8,5.4,0.6,13.4,1,0
0.235,24,2.8,5.8,0.48,0.4,1.3,0.311,0.6,0.8,0.75,0.8,1.1,1.8,0.9,1.4,0.4,0.1,0.6,1.1,1,6.6,-2.9,10.5,0,0
0.714,36,0.4,1.7,0.25,0.1,0.6,0.25,0.7,1,0.714,0.1,0.9,1,0.4,0.3,0,0.3,0.3,0.4,0.6,1.7,-0.6,4.1,0,0
0.352,22,3.1,7.3,0.422,0.7,2.1,0.336,2.3,2.9,0.806,0.4,2,2.3,3.7,1.8,0.5,0.1,0.6,2.1,2.4,9.2,-4,17.6,2,0
0.238,22,5.4,11.7,0.458,0,0.1,0,3.1,4.6,0.673,2.7,6,8.7,1.1,2.2,0.6,0.7,1.4,2.7,3.2,13.8,-6.7,27.6,28,0
0.627,27,3.3,7.6,0.441,1.5,3.7,0.397,1.9,2.2,0.875,0.1,1.8,1.9,1.7,0.9,0.5,0.1,0.1,1.4,1.8,10.1,1.7,15.7,0,0
0.75,26,4.4,8.4,0.525,0,0,0,2.9,3.9,0.739,3.8,6.6,10.4,2.2,1.9,1,1.5,1,3.3,3.1,11.7,3.7,33.1,21,0
0.541,23,3.3,7.7,0.425,1.9,4.7,0.397,2.1,2.3,0.894,0.3,2,2.3,1.1,0.8,0.9,0.1,0.4,1.3,1.6,10.5,1.2,16.7,0,0
0.528,30,7.1,16.1,0.443,1.2,4.2,0.297,2.7,3.4,0.802,0.8,3.2,4,4.7,2,0.7,0.1,0.7,1.8,2.8,18.2,1.2,30.3,2,0
